🔍 Starting detailed monitoring of NimbleEdgeAssistant...
An error was encountered processing the command (domain=NSPOSIXErrorDomain, code=2):
The operation couldn’t be completed. No such file or directory
No such file or directory
📱 App Process ID: 
⏰ Started at: Fri Aug  1 14:19:09 IST 2025
2025-08-01 14:19:48.104894+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2025-08-01 14:19:48.104916+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2025-08-01 14:19:48.104929+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d040f0] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2025-08-01 14:19:48.105059+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x105c05610] activating connection: mach=false listener=false peer=false name=(anonymous)
2025-08-01 14:19:48.105495+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2025-08-01 14:19:48.117049+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) Created Activity ID: 0x68ee50, Description: didChangeInheritances
2025-08-01 14:19:48.117081+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<ai.delite.NimbleEdgeAssistant((null))>
2025-08-01 14:19:48.117760+0530  localhost NimbleEdgeAssistant[58564]: (libMobileGestalt.dylib) No persisted cache on this platform.
2025-08-01 14:19:48.120738+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x105507230> for initial
2025-08-01 14:19:48.120887+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x105507230> for CADisplay KVO
2025-08-01 14:19:48.121708+0530  localhost NimbleEdgeAssistant[58564]: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 1, category name = (null)
2025-08-01 14:19:48.121855+0530  localhost NimbleEdgeAssistant[58564]: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 0, category name = (null)
2025-08-01 14:19:48.124623+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x10550a7a0] activating connection: mach=true listener=false peer=false name=com.apple.fontservicesd
2025-08-01 14:19:48.126105+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x105605b50] activating connection: mach=true listener=false peer=false name=com.apple.metrickit.xpc
2025-08-01 14:19:48.126166+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x105605b50] failed to do a bootstrap look-up: xpc_error=[3: No such process]
2025-08-01 14:19:48.126181+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x105605b50] invalidated after a failed init
2025-08-01 14:19:48.126451+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x106404080] activating connection: mach=true listener=false peer=false name=com.apple.metrickit.xpc
2025-08-01 14:19:48.126552+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x106404080] failed to do a bootstrap look-up: xpc_error=[3: No such process]
2025-08-01 14:19:48.126575+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x106404080] invalidated after a failed init
2025-08-01 14:19:48.134828+0530  localhost NimbleEdgeAssistant[58564]: (CoreFoundation) Created Activity ID: 0x68ee51, Description: Loading Preferences From User Session CFPrefsD
2025-08-01 14:19:48.135116+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2025-08-01 14:19:48.135245+0530  localhost NimbleEdgeAssistant[58564]: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2025-08-01 14:19:48.135256+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2025-08-01 14:19:48.135296+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2025-08-01 14:19:48.135374+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x60000210a490>
2025-08-01 14:19:48.135487+0530  localhost NimbleEdgeAssistant[58564]: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2025-08-01 14:19:48.135581+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
2025-08-01 14:19:48.135787+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x60000210a490>
2025-08-01 14:19:48.135843+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x60000170cf80>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 97823 (elapsed = 0).
2025-08-01 14:19:48.135947+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2025-08-01 14:19:48.135956+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace connected to endpoint : <BSServiceConnectionEndpoint: 0x6000017183c0; target: com.apple.frontboard.systemappservices; service: com.apple.frontboard.workspace-service>
2025-08-01 14:19:48.136256+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x600002c18080 com.apple.frontboard.systemappservices> attempting immediate handshake from activate
2025-08-01 14:19:48.136394+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x600002c18080 com.apple.frontboard.systemappservices> sent handshake
2025-08-01 14:19:48.136413+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
2025-08-01 14:19:48.136523+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) [com.apple.runningboard:general] Added observer for process assertions expiration warning: <_RBSExpirationWarningClient: 0x600000205240>
2025-08-01 14:19:48.136705+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneInterfaceProtectionSceneSettings> on FBSSceneSettings
2025-08-01 14:19:48.136899+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2025-08-01 14:19:48.137129+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2025-08-01 14:19:48.137301+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2025-08-01 14:19:48.137461+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneTransitioningHostSettings> on FBSSceneSettings
2025-08-01 14:19:48.137656+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingContentSizePreferenceClientSettings> on FBSSceneClientSettings
2025-08-01 14:19:48.137800+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneHostingTraitCollectionPropagationSettings on FBSSceneSettings
2025-08-01 14:19:48.138006+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationSettings> on FBSSceneSettings
2025-08-01 14:19:48.138156+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationClientSettings> on FBSSceneClientSettings
2025-08-01 14:19:48.138253+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingEventDeferringSettings> on FBSSceneSettings
2025-08-01 14:19:48.138510+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneSettings
2025-08-01 14:19:48.138591+0530  localhost NimbleEdgeAssistant[58564]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] Registering for test daemon availability notify post.
2025-08-01 14:19:48.138657+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneClientSettings
2025-08-01 14:19:48.138688+0530  localhost NimbleEdgeAssistant[58564]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-08-01 14:19:48.138752+0530  localhost NimbleEdgeAssistant[58564]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-08-01 14:19:48.138829+0530  localhost NimbleEdgeAssistant[58564]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2025-08-01 14:19:48.138892+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneSettingsCore on FBSSceneSettings
2025-08-01 14:19:48.138995+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 11; deactivation reasons: 1024 -> 3072; animating application lifecycle event: 0
2025-08-01 14:19:48.139316+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneClientSettingsCore on FBSSceneClientSettings
2025-08-01 14:19:48.139486+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneTransitionContextCore on FBSSceneTransitionContext
2025-08-01 14:19:48.139935+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneSettings setting counterpart class: UIApplicationSceneSettings
2025-08-01 14:19:48.139988+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:ViewServices] Launching as view service: NO
2025-08-01 14:19:48.140062+0530  localhost NimbleEdgeAssistant[58564]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneClientSettings setting counterpart class: UIApplicationSceneClientSettings
2025-08-01 14:19:48.140511+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason removed: 10; deactivation reasons: 3072 -> 2048; animating application lifecycle event: 0
2025-08-01 14:19:48.140901+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventBus] Event Timing Profile for Touch: not found, path="/System/Library/EventTimingProfiles/Sim.Touch.plist"
2025-08-01 14:19:48.140954+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventBus] Event Timing Profile for Pencil: not found, path="/System/Library/EventTimingProfiles/Sim.Pencil.plist"
2025-08-01 14:19:48.141000+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:UpdateScheduler] Selected display: name=LCD (PurpleMain), id=1
2025-08-01 14:19:48.144097+0530  localhost NimbleEdgeAssistant[58564]: (libsystem_eligibility.dylib) [com.apple.os_eligibility:library] load_eligibility_plist: Failed to open /Users/krishsharma/Library/Developer/CoreSimulator/Devices/0A6913C4-12DB-4112-AA76-B9E0753ED305/data/Containers/Data/Application/2F3ACD0C-6530-4AA9-9233-CC66D490664C/private/var/db/eligibilityd/eligibility.plist: No such file or directory(2)
2025-08-01 14:19:48.144499+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x105507370] activating connection: mach=false listener=false peer=false name=(anonymous)
2025-08-01 14:19:48.146280+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 5; deactivation reasons: 2048 -> 2080; animating application lifecycle event: 1
2025-08-01 14:19:48.146412+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Should send trait collection or coordinate space update, interface style 2 -> 2, <UIWindowScene: 0x105308650> (9910A2A3-10AA-4FB3-BE4A-706B2BCD407A)
2025-08-01 14:19:48.146624+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 2, <UIWindowScene: 0x105308650> (9910A2A3-10AA-4FB3-BE4A-706B2BCD407A)
2025-08-01 14:19:48.147343+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:HomeAffordanceObservation] Initializing: <_UIHomeAffordanceSceneNotifier: 0x6000029098f0>; with scene: <UIWindowScene: 0x105308650>
2025-08-01 14:19:48.147390+0530  localhost NimbleEdgeAssistant[58564]: (libsystem_trace.dylib) Created Activity ID: 0x68ee52, Description: Activity for state dumps
2025-08-01 14:19:48.147468+0530  localhost NimbleEdgeAssistant[58564]: (BacklightServices) [com.apple.BacklightServices:scenes] 0x600000c2d140 setDelegate:<0x600000c30660 _UIBacklightEnvironment> hasDelegate:YES for environment:sceneID:ai.delite.NimbleEdgeAssistant-default
2025-08-01 14:19:48.147702+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 2, <UIWindowScene: 0x105308650> (9910A2A3-10AA-4FB3-BE4A-706B2BCD407A)
2025-08-01 14:19:48.147752+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x60000290df10] Initialized with scene: <UIWindowScene: 0x105308650>; behavior: <_UIEventDeferringBehavior_iOS: 0x600000268e20>; availableForProcess: 1, systemShellManagesKeyboardFocus: 1
2025-08-01 14:19:48.147385+0530  localhost NimbleEdgeAssistant[58564]: (libRPAC.dylib) [com.apple.runtime-issues:Slow Launch Risk] __delegate_identifier__:Performance Diagnostics__:::____message__:{"message":"Performing I/O on the main thread can cause slow launches.","antipattern trigger":"dlopen","message type":"suppressable","issue type":4,"category type":17,"subcategory type":3,"show in console":"0"}'8D F2 F5 B7 0B 8D 30 5E B4 37 78 EE 4B 38 E5 96 F8 5F 02 00 5E BD FD 3F B0 53 36 77 89 D1 E9 D7 D6 8D 64 24 28 4E 00 00 00 6B 3A D4 01 9A 3C AE 8D DA 12 87 FA 55 10 5F 9C B6 02 00 5E BD FD 3F B0 53 36 77 89 D1 E9 D7 D6 8D 64 24 E0 45 00 00 5E BD FD 3F B0 53 36 77 89 D1 E9 D7 D6 8D 64 24 D0 45 01 00 5E BD FD 3F B0 53 36 77 89 D1 E9 D7 D6 8D 64 24 08 9D 03 00 DC 2E D4 B5 36 DD 3B 56 B3 70 7A 83 60 8D ED 47 AC D7 00 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 98 D7 01 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 74 43 01 00 DC 2E D4 B5 36 DD 3B 56 B3 70 7A 83 60 8D ED 47 58 D6 00 00 DC 2E D4 B5 36 DD 3B 56 B3 70 7A 83 60 8D ED 47 E8 D0 00 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 68 00 A5 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 B8 FF A4 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 98 FF A4 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 98 D7 01 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 00 6D 00 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 4C FF A4 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 94 01 A5 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 A8 07 A5 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 74 DB A2 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 98 D7 01 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 00 6D 00 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 B0 FB A2 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 98 D7 01 00 4C 03 83 BC BE BA 3A 34 AB D3 AC 10 21 F9 69 04 00 6D 00 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 74 E5 A2 00 B8 84 82 3E A2 D6 35 D0 B8 24 1F 81 2A 7D 7B C1 1C 2A 33 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 9C 3E 02 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 08 EB 01 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 FC CB 01 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 48 CA 01 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 3C 34 02 00 52 36 87 D3 3C 5D 35 3C A7 1A 3E 83 F3 3D F3 F0 B4 5D 5E 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 A4 33 02 00 BD 45 D2 A4 BE 2F 37 93 BC 31 4A EB AF D0 80 01 50 34 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00'
2025-08-01 14:19:48.148768+0530  localhost NimbleEdgeAssistant[58564]: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x60000212c050; process scope; status: target> was:none
2025-08-01 14:19:48.148801+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to LastOneWins
2025-08-01 14:19:48.148849+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene target of keyboard event deferring environment did change: 1; scene: UIWindowScene: 0x105308650; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Aai.delite.NimbleEdgeAssistant-default
2025-08-01 14:19:48.148907+0530  localhost NimbleEdgeAssistant[58564]: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x60000290df10] Scene target of event deferring environments did update: scene: 0x105308650; current systemShellManagesKeyboardFocus: 1; systemShellManagesKeyboardFocusForScene: 1; eligibleForRecordRemoval: 1;
